Model,Train Accuracy,Test Accuracy,Precision (macro),Recall (macro),F1 (macro),ROC-AUC (micro),ROC-AUC (macro),Train Time (s)
PLA (one-vs-rest),0.312,0.1804,0.3169,0.1804,0.1537,0.7947,0.8505,7.39
"MLP (256, 128)",0.9652,0.4355,0.4598,0.4355,0.4355,0.9382,0.9385,16.74
